,age,sl
374,7.03,-5.430000000000001
375,7.04,-6.03
376,7.05,-5.045
377,7.07,-2.48
378,7.09,-6.615
379,7.1,-5.96
380,7.12,-6.77
381,7.14,-5.775
382,7.16,-6.04
383,7.18,-6.335
384,7.2,-5.903333333333333
385,7.21,-3.92
386,7.23,-5.63
387,7.24,-4.74
388,7.27,-5.56
389,7.28,-7.103333333333333
390,7.29,-4.93
391,7.3,-7.19
392,7.33,-6.64
393,7.35,-10.28
394,7.4,-11.01
395,7.41,-7.904999999999999
396,7.42,-6.98
397,7.44,-7.46
398,7.46,-12.3
399,7.49,-8.13
400,7.51,-9.25
401,7.52,-7.753333333333334
402,7.55,-9.046666666666667
403,7.56,-8.385
404,7.58,-5.58
405,7.59,-9.285
406,7.61,-11.88
407,7.62,-10.91
408,7.65,-10.82
409,7.67,-9.66
410,7.68,-10.12
411,7.69,-7.81
412,7.7,-11.64
413,7.72,-8.66
414,7.74,-9.780000000000001
415,7.78,-10.22
416,7.79,-11.46
417,7.84,-10.875
418,7.85,-9.15
419,7.86,-14.84
420,7.88,-10.32
421,7.89,-11.62
422,7.92,-11.92
423,7.95,-12.44
424,7.96,-12.3
425,7.97,-9.626666666666667
426,7.99,-13.52
427,8.0,-13.699999999999998
428,8.04,-16.98
429,8.05,-15.24
430,8.06,-13.76
431,8.07,-12.49
432,8.1,-13.695
433,8.11,-12.07
434,8.12,-14.690000000000001
435,8.14,-14.3
436,8.15,-12.98
437,8.16,-13.399999999999999
438,8.17,-12.59
439,8.18,-16.28
440,8.19,-11.9
441,8.2,-8.8
442,8.23,-15.303333333333333
443,8.24,-18.84
444,8.26,-19.5
445,8.29,-22.35
446,8.3,-15.24
447,8.35,-16.075
448,8.36,-18.81
449,8.37,-20.73
450,8.39,-19.69
451,8.4,-17.843333333333334
452,8.41,-14.96
453,8.45,-16.689999999999998
454,8.47,-18.223333333333333
455,8.49,-21.64
456,8.51,-16.92
457,8.52,-17.35
458,8.54,-14.69
459,8.56,-20.76666666666667
460,8.57,-26.63
461,8.58,-24.07
462,8.6,-13.93
463,8.61,-18.58
464,8.62,-21.73
465,8.71,-14.98
466,8.73,-21.28
467,8.76,-21.24
468,8.79,-20.2
469,8.8,-20.03
470,8.85,-31.03
471,8.91,-28.62
472,8.92,-26.98
473,8.93,-22.04
474,8.94,-21.38
475,8.95,-25.86
476,8.96,-18.27
477,8.99,-25.924999999999997
478,9.02,-16.85
479,9.07,-25.98
480,9.11,-24.695
481,9.13,-27.9
482,9.15,-25.62
483,9.17,-30.18
484,9.18,-22.86
485,9.22,-33.445
486,9.24,-34.86
487,9.33,-28.86
488,9.35,-29.87
489,9.36,-38.12
490,9.37,-37.58
491,9.44,-36.83
492,9.46,-38.98
493,9.47,-32.03
494,9.49,-40.98
495,9.51,-30.31
496,9.54,-31.64
497,9.56,-34.155
498,9.6,-31.24
499,9.61,-35.2
500,9.62,-31.32
501,9.64,-36.35
502,9.72,-31.74
503,9.73,-36.36
504,9.8,-35.84
505,9.83,-33.55
506,9.84,-39.62
507,9.85,-37.32
508,9.88,-33.81
509,9.9,-37.36
510,9.92,-32.19
511,9.94,-35.08
512,9.95,-38.97
513,9.98,-36.72
514,10.03,-42.52
515,10.04,-44.03
516,10.18,-42.41
517,10.2,-49.57
518,10.23,-42.41
519,10.26,-41.73
520,10.29,-40.41
521,10.31,-40.47
522,10.32,-46.57
523,10.49,-48.27
524,10.5,-50.8
525,10.54,-42.9
526,10.57,-41.2
527,10.63,-50.06
528,10.64,-48.0
529,10.69,-46.71
530,10.78,-55.27
531,10.79,-54.16
532,10.81,-43.09
533,10.9,-52.254999999999995
534,11.08,-52.605000000000004
535,11.09,-48.85
536,11.13,-57.85
537,11.15,-51.15
538,11.35,-56.69
539,11.37,-60.82
540,11.38,-61.27
541,11.39,-59.035
542,11.4,-60.56
543,11.41,-59.93
544,11.51,-60.084999999999994
545,11.56,-62.79
546,11.58,-58.8
547,11.64,-61.84
548,11.67,-64.29
549,11.95,-68.43
550,12.0,-60.67
551,12.03,-62.55
552,12.17,-63.48
553,12.2,-62.775
554,12.23,-66.28
555,12.28,-65.39
556,12.29,-55.58
557,12.63,-73.52
558,12.64,-73.49
559,12.65,-66.04
560,12.73,-77.31
561,12.77,-65.92
562,12.78,-66.58
563,12.8,-65.51
564,12.84,-67.48
565,12.94,-67.48
566,12.95,-69.86
567,12.97,-73.49
568,12.98,-69.16
569,12.99,-69.47
570,13.0,-76.26
571,13.08,-73.9
572,13.09,-71.16
573,13.14,-70.22
574,13.18,-71.68
575,13.31,-77.7
576,13.44,-84.18
577,13.56,-75.35
578,13.57,-75.66
579,13.58,-75.88
580,13.6,-73.21
581,13.63,-76.21
582,13.84,-76.09
583,14.08,-93.8
584,14.1,-90.93
585,14.15,-92.65
586,14.18,-87.42
587,14.26,-99.94
588,14.28,-93.09
589,14.3,-94.14
590,14.31,-94.68
591,14.32,-97.65
592,14.34,-99.16499999999999
