,age,dsl,dt,fwf
3.0,2.99,-0.0038023978133915337,630720000.0000005,2182.3757110092183
3.01,3.005,0.009411708766309923,315359999.9999933,-10803.648444331127
3.02,3.0149999999999997,0.010703944973844526,315360000.0000073,-12286.999240650777
3.03,3.025,0.006780111197061567,315359999.9999933,-7782.852147819442
3.06,3.045,0.01011380297466602,946080000.000008,-3869.8595011299976
3.08,3.0700000000000003,-0.004538792424576776,630720000.0000005,2605.0273618987694
3.13,3.105,0.01595835189028383,1576799999.9999943,-3663.7007764350374
3.14,3.135,0.010962297167273927,315360000.0000073,-12583.560294752251
3.17,3.1550000000000002,-0.01692855988648756,946079999.9999939,6477.400091861719
3.18,3.175,-0.015755553542273204,315360000.0000073,18085.71278000624
3.19,3.185,-0.020387442468554062,315359999.9999933,23402.63246326968
3.2,3.1950000000000003,-0.019681940202516457,315360000.0000073,22592.79031364407
3.22,3.21,-0.03222551646202443,630720000.0000005,18495.74606680117
3.23,3.225,0.0002646285793758141,315359999.9999933,-303.76568281978285
3.26,3.245,-0.007878287793092187,946079999.9999939,3014.4809964267183
3.27,3.2649999999999997,0.007477568629728593,315360000.0000073,-8583.459677707027
3.32,3.295,0.029159934877716176,1576799999.9999943,-6694.505597243337
3.33,3.325,0.012208821045880835,315360000.0000073,-14014.43816149404
3.35,3.34,0.018074927488616277,630720000.0000005,-10374.054653220268
3.37,3.3600000000000003,0.019052523265788546,630720000.0000005,-10935.14304638421
3.39,3.38,0.049449644274309534,630720000.0000005,-28381.486598332125
3.41,3.4000000000000004,0.03556663905991042,630720000.0000005,-20413.37414334025
3.44,3.425,-0.03876931181282284,946079999.9999939,14834.359542789147
3.45,3.4450000000000003,0.0017211204880862585,315360000.0000073,-1975.6646901547795
3.46,3.455,0.00012007322411700105,315359999.9999933,-137.83138993643868
3.47,3.465,-0.011613158125790779,315360000.0000073,13330.679989650447
3.48,3.475,-0.015001754543402357,315359999.9999933,17220.431077853144
3.49,3.4850000000000003,-0.02581493623040143,315360000.0000073,29632.822537433734
3.5,3.495,-0.017123582975250184,315359999.9999933,19656.06620066178
3.51,3.505,-0.01274285317366386,315359999.9999933,14627.450687678891
3.54,3.525,-0.011555695475137573,946080000.000008,4421.572976915024
3.55,3.545,-0.003771245641671861,315359999.9999933,4328.9920163788765
3.56,3.5549999999999997,-0.0012563389771461653,315360000.0000073,1442.1445640756638
3.58,3.5700000000000003,0.012346978274248244,630720000.0000005,-7086.514039950946
3.61,3.5949999999999998,0.0502298880780605,946079999.9999939,-19219.536914698565
3.62,3.615,0.02334302704885316,315360000.0000073,-26795.331658056344
3.63,3.625,0.01717795231326369,315359999.9999933,-19718.476463094834
3.64,3.635,0.01550409258310792,315360000.0000073,-17797.062135606728
3.68,3.66,0.005004016534691846,1261440000.000001,-1436.0207267554913
3.7,3.6900000000000004,-0.021226087133355387,630720000.0000005,12182.65401806609
3.71,3.705,-0.004794920876809994,315359999.9999933,5504.063157677747
3.74,3.725,-0.054353664868203366,946080000.000008,20797.42377208001
3.76,3.75,-0.012234386837859712,630719999.9999866,7021.892496361792
3.8,3.78,-0.05041909067722172,1261440000.000001,14468.948840336638
3.82,3.8099999999999996,-0.018057481381569818,630720000.0000005,10364.041508321076
3.83,3.825,-0.014205102988329998,315360000.0000073,16305.959163417494
3.86,3.8449999999999998,-0.058738280650142416,946079999.9999939,22475.115841526815
3.87,3.865,-0.018564053776903733,315360000.0000073,21309.574667805035
3.88,3.875,-0.02180347329768406,315359999.9999933,25028.08642111174
3.89,3.885,-0.03968382819970839,315360000.0000073,45552.84693142474
3.91,3.9000000000000004,-0.08828997115022452,630720000.0000005,50673.78481161412
3.92,3.915,-0.03410102385518732,315359999.9999933,39144.37669830692
3.93,3.925,-0.04762411760045682,315360000.0000073,54667.46122325269
3.94,3.935,-0.04342776340931587,315359999.9999933,49850.489453870745
3.95,3.9450000000000003,-0.05179310848839114,315360000.0000073,59453.022808210175
4.01,3.98,-0.201687629004079,1892159999.9999878,38586.01899388903
4.02,4.015,-0.05699480396518708,315359999.9999933,65424.02027967453
4.05,4.035,-0.044125324098365226,946080000.000008,16883.738503729153
4.09,4.07,-0.08555395012563594,1261440000.000001,24551.726554953217
4.11,4.1,0.09621241696600769,630720000.0000145,-55220.85068127533
4.12,4.115,0.058663706748733446,315359999.9999933,-67339.74455556176
4.13,4.125,0.06547323542260508,315359999.9999933,-75156.3648623273
4.14,4.135,0.06136077110698013,315359999.9999933,-70435.68981712099
4.15,4.145,0.05117613402338361,315360000.0000213,-58744.801231810045
4.18,4.165,0.10291535598701262,946079999.9999799,-39378.655998752074
4.2,4.1899999999999995,-0.014347988463686345,630720000.0000145,8234.988305197769
4.21,4.205,0.02929391562973649,315359999.9999933,-33626.323750522686
4.22,4.215,-0.01222623470296269,315359999.9999933,14034.427202158131
